Planning District,1980,1990,2000,2009,2010,2015,2020,2025,2030,2035
Annandale,66466,66329,70152,70683,70717,71201,72681,74665,76374,78228
Baileys,30290,38392,43989,42549,42939,43343,44165,45335,46357,47454
Bull Run,23566,66234,107798,115846,115934,116979,121232,127218,132391,138049
Fairfax,32332,45244,56024,66495,66924,68181,69093,70356,71443,72638
Jefferson,38152,42859,48092,51053,51208,54966,58238,61167,63434,65896
Lincolnia,9978,14010,16819,18929,19007,19389,19664,20074,20409,20794
Lower Potomac,16305,24371,23769,30899,31243,32770,34639,37244,39509,41968
McLean,54669,58747,63278,67717,68000,70981,74880,78841,82005,85452
Mount Vernon,79533,82483,86944,88517,88745,90900,95269,100712,105316,110353
Pohick,71543,127040,137166,140247,140378,141011,142242,143725,144993,146531
Rose Hill,23262,34520,45646,48589,48648,49888,51922,54107,55878,57896
Springfield,31667,39919,48736,51432,51132,53950,56985,59435,61244,63216
Upper Potomac,70795,125169,162010,195147,196927,203982,213229,224204,233419,243465
Vienna,48343,53267,59326,63889,64632,65449,68194,72012,75357,78903
